id,property_id,month,occupancy_rate,revenue
024c7847-5dfd-41c8-86d1-4045be4c822b,prop_1765238449259,2025-09,25.81,1045
07cc4495-eb66-4506-9c04-89e981fb8242,prop_1765537486682,2025-07,61,4042.1
0ff7fc0a-10e2-442c-8b6d-02c6270e70be,prop_1765537486682,2025-10,48,2069
107ae844-c5d1-4ccb-9524-5564fb4eabcf,prop_1765238449259,2025-12,29,811
1735f4cc-04c7-4604-a51c-2a00279f3e0b,prop_1765238449259,2025-11,9.68,367
30a14f81-11b5-4302-8d81-911811f819bc,prop_1765537486682,2024-12,40,2756.7
3cb1cb5e-45be-469e-aab9-766f6fbb5d9d,prop_1765238539013,2026-01,29.03,1593
426db8a7-2df7-4036-a424-49059b9b7736,prop_1765537486682,2025-08,71,3500
4474d39e-2da2-4eb0-b1f2-c858bed2008b,prop_1765537486682,2025-12,65,4481
44a9c69f-ef16-406a-b9eb-aafb95ae5c2b,prop_1765238539013,2025-12,41.94,1277
4765e0c2-5e1c-44c0-b7a5-6fa96803fde9,prop_1765238449259,2025-10,19.35,811
4d0c1edb-eb56-4d66-bfa8-1c0beb01e63e,prop_1771838428660,2026-02,3,120
50faa496-ebbe-4b49-9ccb-c73f502dcf5a,prop_1765537486682,2025-04,77,4109.3
55b4812f-cf53-4b24-af2c-4ee4bbb2c495,prop_1765537486682,2025-09,43,3765
633dab77-d09e-4430-8200-c02143553d0d,prop_1765238449259,2026-02,61,2623
6cf525a5-53c9-475b-863f-d4213be0cd22,prop_1765646840190,2026-01,65,3120
736c3ab5-26e5-472b-9092-860aadf1a526,prop_1765537486682,2025-01,45,3263.4
7843888a-2106-45ca-acab-8b478f795ddb,prop_1765537486682,2025-05,71,4650
796dc534-ff29-4541-8ee5-6eb99a858e9c,prop_1765646840190,2026-03,59,3150
7b00244c-39d8-41d1-9522-32a90e3ba46b,prop_1765646840190,2026-02,35,1800
8ae4077a-7a1a-4267-af77-925778a90de1,prop_1765537486682,2025-02,35,1000
8b50f9ba-8950-4080-84cb-f7c1ff47bb93,prop_1765537486682,2025-06,80,4590.2
9ee8ba7e-2cda-44b3-8f9d-b74014c18fbb,prop_1765238449259,2026-01,42,1403
a2afb839-76f2-4998-bdf3-b1b78c4ed5b6,prop_1765238539013,2026-02,75,2753
afa9d2a0-3cef-4b3b-a9be-b73b12953bc6,prop_1765238539013,2025-11,26.67,1678
b59c0e91-b864-4a4a-993c-200e41e24fad,prop_1765537486682,2024-11,12,1106.48
b96dd31f-c89c-4960-b75d-8c93ea843d31,prop_1765238539013,2025-10,64.52,2500
bf48187d-cc73-4b91-b219-1363395dbb8d,prop_1765537486682,2025-03,48,3282
d0e4b81a-e585-42ff-8339-a3f9540b478e,prop_1769477255775,2025-08,10,6000
dd107c43-7b79-4c9b-90ae-2b87343f5d44,prop_1765537486682,2025-11,67,2394
ee7f5f42-35b7-4e46-b49b-204c18eeb61b,prop_1765238539013,2025-09,25.81,907
f4350b7a-2fc5-49cd-973a-c8f8929e2e25,prop_1765646840190,2026-04,78,3978
